Material Id	Formula	Metal?system	Nsites	Density?(g¡¤cm??)?	?Formation?Energy?(eV?/?atom)	Energy?Above?Hull?(eV?/?atom)?	Band?Gap?(eV)?
mp-19051	LaCoO3	Co	20	7.346953555	-2.596609753	0.003316385	1.0014
mp-19402	V4Ag2O11	V	17	4.865151399	-1.969933968	0.010265717	1.0019
mp-1175349	Li7Mn5O12	Mn	24	3.8499952	-2.145998853	0.023992494	1.0023
mp-1173962	Li3Mn2O5	Mn	20	3.866080375	-2.150375401	0.021640223	1.0029
mp-674490	FeSbO4	Fe	6	6.018811159	-1.834401473	0	1.0037
mp-1174015	Li3Mn2O5	Mn	20	3.840252362	-2.124022908	0.047992716	1.0038
mp-1307896	Li3V4O8	V	30	3.826256306	-2.464775388	0.044984992	1.0062
mp-752875	V3(O2F)2	V	18	4.153193866	-2.705907891	0.036497888	1.0063
mp-26632	MnP2O7	Mn	40	3.231731477	-2.370272984	0.013261014	1.0082
mp-1175313	Li7Mn5O12	Mn	48	3.872749163	-2.146299839	0.023691507	1.0098
